resource_callsign,callsign_type,incident_number,call_time,revised_incident_type,assigned_time,mobile_time,on_scene_time,available_time,callsign_station,alias_1,initial_incident_type,initial_role,final_role,actual_role,riders,assign_order,mob_reason,lat,long,details,classification,geometry,pixel_value,suitability_or,suitability,suitability2
B051,PRL,FW001717-09012023,2023-01-09 21:34:35.427,SSC,2023-01-09 21:39:34.237,2023-01-09 21:40:51.757,2023-01-09 21:43:05.097,2023-01-09 22:28:56.180,Foleshill,B05,FLOODING,,PUMPING,Pumping,5,1,Initial Response,52.4262278697433,-1.49434122667261,*risk based crewing 5* WATER LEAK FROM FLAT ABOVE DOESNT KNOW WHO LIVES ABOVE TRIED TO KNOCK THE DOOR NO ANSER TURNED ELECTRIC OFF  COUNCIL PROPERTY,Class 4,POINT (434480.46854912845 281034.10730787466),0.80848396,2.27,2.27,0.18478260587879758
E031,PRL,FW001718-09012023,2023-01-09 21:41:35.917,FAE,2023-01-09 21:42:43.757,2023-01-09 21:43:47.913,2023-01-09 21:47:43.880,2023-01-09 21:51:51.003,Willenhall,E03,ALARMS SLEEPING MANAGED,PUMPING,PUMPING,Pumping,5,2,Initial Response,52.5771949399473,-2.06833896676086,SMOKE DETECTOR ACTUATION NO SPEECH CONTACT,Class 4,POINT (395465.6229024436 297709.2727577949),0.64918286,2.77,2.77,0.3659420267946203
E071,PRL,FW001718-09012023,2023-01-09 21:41:35.917,FAE,2023-01-09 21:42:43.743,2023-01-09 21:43:55.803,2023-01-09 21:47:31.657,2023-01-09 22:13:57.197,Bilston,E07,ALARMS SLEEPING MANAGED,,PUMPING,Pumping,5,1,Initial Response,52.5771949399473,-2.06833896676086,SMOKE DETECTOR ACTUATION NO SPEECH CONTACT,Class 4,POINT (395465.6229024436 297709.2727577949),0.64918286,2.77,2.77,0.3659420267946203
D015,BRV,FW001720-09012023,2023-01-09 21:46:07.283,FAG,2023-01-09 21:48:29.337,2023-01-09 21:49:45.907,2023-01-09 21:53:43.270,2023-01-09 22:34:53.103,Oldbury,D01,SECONDARY FIRE,,PUMPING,Pumping,3,1,Initial Response,52.5043249982268,-2.04583248483251,ON TOP OF THE HILL - SEEN FROM CITY ROAD ACCESS MAY BE WEST AVENUE,Class 2,POINT (396985.61231885 289602.308688465),0.48616424,4.15,4.15,0.865942069986392
A061,PRL,FW001722-09012023,2023-01-09 22:01:55.960,SEC,2023-01-09 22:05:10.447,2023-01-09 22:06:15.713,2023-01-09 22:11:23.157,2023-01-09 22:19:37.860,Ward End,A06,VEHICLE FIRE SMALL,,PUMPING,Pumping,4,1,Initial Response,52.4781946271246,-1.85666710399988,risk based crewing 4 NEAR TO THE MAIN ROAD LLOYDS BANK  VAN BERLINGO  CAN SEE IT THROUGH THE FENCE  CARS NEXT TO IT  ,Class 3,POINT (409831.67853706743 286704.39315393544),0.96767306,3.51,3.51,0.6340579732053797
A025,BRV,FW001724-09012023,2023-01-09 22:17:49.760,SEC,2023-01-09 22:21:50.090,2023-01-09 22:23:30.587,2023-01-09 22:31:30.330,2023-01-09 22:41:33.157,Aston,A02,SECONDARY FIRE,,PUMPING,Pumping,3,1,Initial Response,52.4777862290451,-1.91918384497898,UNSURE OF EXACT LOCATION ON ST VINCENT STREET NEAR TO GREAT TINDAL STREET SOMEONE BURNING STUFF IN GARDEN- LOTS OF SMOKE IN AREA- CALLER LIVES NEARBY AND WAS WORRIED BY SMOKE,Class 2,POINT (405585.6499326329 286652.3677517736),0.94778454,3.26,3.26,0.5434782627474684
C091,PRL,FW001725-09012023,2023-01-09 22:29:41.977,FAE,2023-01-09 22:33:50.397,2023-01-09 22:35:20.213,2023-01-09 22:41:41.283,2023-01-09 22:54:08.230,Hay Mills,C09,FIRE,,PUMPING,Pumping,4,3,Initial Response,52.4876274074607,-1.8512465435793,ALARMS ACTUATING - CALLER CAN SMELL SMOKE  STRONG LANGUAGE BARRIER,Class 3,POINT (410197.6862327727 287754.39277434786),0.9398158,3.27,3.27,0.547101447710443
A061,PRL,FW001725-09012023,2023-01-09 22:29:41.977,FAE,2023-01-09 22:33:50.383,2023-01-09 22:35:05.957,2023-01-09 22:38:41.467,2023-01-09 22:52:43.100,Ward End,A06,FIRE,,PUMPING,Pumping,4,2,Initial Response,52.4876274074607,-1.8512465435793,ALARMS ACTUATING - CALLER CAN SMELL SMOKE  STRONG LANGUAGE BARRIER,Class 3,POINT (410197.6862327727 287754.39277434786),0.9398158,3.27,3.27,0.547101447710443
A065,BRV,FW001725-09012023,2023-01-09 22:29:41.977,FAE,2023-01-09 22:33:50.367,2023-01-09 22:34:43.277,2023-01-09 22:38:22.587,2023-01-09 22:52:13.390,Ward End,A06,FIRE,,PUMPING,Pumping,3,1,Initial Response,52.4876274074607,-1.8512465435793,ALARMS ACTUATING - CALLER CAN SMELL SMOKE  STRONG LANGUAGE BARRIER,Class 2,POINT (410197.6862327727 287754.39277434786),0.9398158,3.27,3.27,0.547101447710443
B051,PRL,FW001727-09012023,2023-01-09 23:19:43.277,SEC,2023-01-09 23:20:39.293,2023-01-09 23:21:48.850,2023-01-09 23:26:20.150,2023-01-09 23:51:50.217,Foleshill,B05,SECONDARY FIRE,,PUMPING,Pumping,5,1,Initial Response,52.4330884966982,-1.45805013509663,BINS OUTSIDE FLATS ON FIRE,Class 4,POINT (436942.48030662944 281815.02531925787),0.7076204,2.35,2.35,0.2137680855825953
C071,PRL,FW001733-10012023,2023-01-10 00:04:03.567,FAE,2023-01-10 00:06:53.573,2023-01-10 00:07:34.710,2023-01-10 00:10:41.970,2023-01-10 00:39:54.147,Ladywood,C07,ALARMS SLEEPING NON MANAGED,,PUMPING,Pumping,5,1,Initial Response,52.4743532166204,-1.93579677419874,SUPPORT WORKER CALLING SAYING ONE HER CLIENTS IS SAYING A FIRE ALARM IS GOING OFF IN SUPPORTED ACCOMODATION,Class 4,POINT (404457.6312426769 286269.3566736719),0.7629305,3.41,3.41,0.5978261235756326
C041,PRL,FW001734-10012023,2023-01-10 00:29:45.533,FAE,2023-01-10 00:31:53.520,2023-01-10 00:33:22.307,2023-01-10 00:36:43.947,2023-01-10 00:43:25.300,Bournbrook,C04,ALARMS SLEEPING NON MANAGED,,PUMPING,Pumping,5,1,Initial Response,52.4592481508507,-1.90597221828488,ALARM WITHIN FLAT ACTIVATING NEIGHBOUR CALLED IN AS IT WOKE HER UP AND SHE IS GOING TO KNOCK ON FLAT DOOR NOW,Class 4,POINT (406485.6460151141 284591.38863582234),0.59811926,3.04,3.04,0.46376810717848116
B041,PRL,FW001736-10012023,2023-01-10 01:21:23.053,FAG,2023-01-10 01:22:30.267,2023-01-10 01:24:22.513,2023-01-10 01:29:00.580,2023-01-10 01:45:15.247,Canley,B04,ALARMS SLEEPING NON MANAGED,,PUMPING,Pumping,5,1,Initial Response,52.3996606834531,-1.58146274394137,NO SIGNS OF SMOKE OR FIRE IN THE BUILDING,Class 4,POINT (428573.3829777515 278041.2131252431),0.3776612,--,--,0.5199768343213695
A061,PRL,FW001737-10012023,2023-01-10 01:21:18.140,SSC,2023-01-10 01:24:13.807,2023-01-10 01:26:34.677,2023-01-10 01:30:17.687,2023-01-10 01:50:08.173,Ward End,A06,GAS LEAK,,PUMPING,Pumping,4,2,Initial Response,52.5054699477444,-1.85651963494366,NANDOS,Class 3,POINT (409835.6596437159 289738.38184872596),0.7961387,2.11,2.11,0.1268115600876586
A041,PRL,FW001737-10012023,2023-01-10 01:21:18.140,SSC,2023-01-10 01:24:13.820,2023-01-10 01:25:24.047,2023-01-10 01:30:50.533,2023-01-10 01:43:37.567,Erdington,A04,GAS LEAK,,PUMPING,Pumping,5,3,Initial Response,52.5054699477444,-1.85651963494366,NANDOS,Class 4,POINT (409835.6596437159 289738.38184872596),0.7961387,2.11,2.11,0.1268115600876586
A065,BRV,FW001737-10012023,2023-01-10 01:21:18.140,SSC,2023-01-10 01:24:13.790,2023-01-10 01:25:26.983,2023-01-10 01:29:01.690,2023-01-10 01:48:08.613,Ward End,A06,GAS LEAK,,PUMPING,Pumping,3,1,Initial Response,52.5054699477444,-1.85651963494366,NANDOS,Class 2,POINT (409835.6596437159 289738.38184872596),0.7961387,2.11,2.11,0.1268115600876586
C065,BRV,FW001738-10012023,2023-01-10 01:24:12.980,FAE,2023-01-10 01:26:02.840,2023-01-10 01:27:49.497,2023-01-10 01:32:35.193,2023-01-10 01:52:25.727,Northfield,C06,CARBON MONOXIDE,,PUMPING,Pumping,3,1,Initial Response,52.3903333523352,-1.95812125309187,SUPPORT WORKER AT PROPERTY CO2 ALARM HAS ACTIVATED,Class 2,POINT (402946.46441916266 276922.3723218868),0.6503356238900069,--,--,0.5199768343213695
C051,PRL,FW001738-10012023,2023-01-10 01:24:12.980,FAE,2023-01-10 01:26:02.853,2023-01-10 01:27:17.047,2023-01-10 01:33:54.193,2023-01-10 01:45:01.407,Kings Norton,C05,CARBON MONOXIDE,PUMPING,PUMPING,Pumping,5,2,Initial Response,52.3903333523352,-1.95812125309187,SUPPORT WORKER AT PROPERTY CO2 ALARM HAS ACTIVATED,Class 4,POINT (402946.46441916266 276922.3723218868),0.6503356238900069,--,--,0.5199768343213695
E051,PRL,FW001739-10012023,2023-01-10 01:33:44.743,FDR,2023-01-10 01:34:42.157,2023-01-10 01:36:28.117,2023-01-10 01:39:30.970,2023-01-10 02:22:33.917,Wolverhampton,E05,HOUSE FIRE PR,,PUMPING,Pumping,5,1,Initial Response,52.5938154845168,-2.14846477473417,FLAMES COMING OUT THE FRONT DOOR,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E055,BRV,FW001739-10012023,2023-01-10 01:33:44.743,FDR,2023-01-10 01:34:42.170,2023-01-10 01:36:42.897,2023-01-10 01:39:57.177,2023-01-10 02:15:16.050,Wolverhampton,E05,HOUSE FIRE PR,,PUMPING,Pumping,3,2,Initial Response,52.5938154845168,-2.14846477473417,FLAMES COMING OUT THE FRONT DOOR,Class 2,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E061,PRL,FW001739-10012023,2023-01-10 01:33:44.743,FDR,2023-01-10 01:34:42.187,2023-01-10 01:35:45.507,2023-01-10 01:40:29.923,2023-01-10 01:55:02.810,Fallings Park,E06,HOUSE FIRE PR,,PUMPING,Pumping,5,3,Initial Response,52.5938154845168,-2.14846477473417,FLAMES COMING OUT THE FRONT DOOR,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E055,BRV,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-11 09:03:39.303,2023-01-11 09:05:41.060,2023-01-11 09:15:45.877,2023-01-11 13:21:14.320,Wolverhampton,E05,HOUSE FIRE PR,,PUMPING,Pumping,3,21,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 2,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E065,BRV,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:33:48.923,2023-01-10 03:37:39.977,2023-01-10 03:40:17.503,2023-01-10 08:08:18.493,Fallings Park,E06,HOUSE FIRE PR,,PUMPING,Pumping,3,3,Initial Response,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 2,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E055,BRV,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:33:48.907,2023-01-10 03:35:58.357,2023-01-10 03:38:52.823,2023-01-10 07:57:25.927,Wolverhampton,E05,HOUSE FIRE PR,,PUMPING,Pumping,3,1,Initial Response,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 2,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
D095,BRV,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-11 12:48:11.373,2023-01-11 12:48:41.400,2023-01-11 13:14:13.927,2023-01-11 15:58:38.720,Dudley,D09,HOUSE FIRE PR,"BRV,RELIEF PUMPING","BRV,RELIEF PUMPING",Pumping,3,22,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 2,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E051,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:33:48.907,2023-01-10 03:35:17.033,2023-01-10 03:38:22.420,2023-01-10 14:03:19.583,Wolverhampton,E05,HOUSE FIRE PR,,PUMPING,Pumping,5,2,Initial Response,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E061,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:34:19.927,2023-01-10 03:35:09.450,2023-01-10 03:39:54.350,2023-01-10 09:07:41.297,Fallings Park,E06,HOUSE FIRE PR,,PUMPING,Pumping,5,4,Initial Response,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E071,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:53:44.197,2023-01-10 03:54:40.357,2023-01-10 04:01:11.917,2023-01-10 07:16:06.017,Bilston,E07,HOUSE FIRE PR,PUMPING,PUMPING,Pumping,5,6,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E071,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 09:04:19.493,2023-01-10 09:04:30.843,2023-01-10 09:13:11.083,2023-01-10 09:13:25.967,Bilston,E07,HOUSE FIRE PR,"PRL,RELIEF PUMPING","PRL,RELIEF PUMPING",Pumping,5,16,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E031,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 03:53:44.213,2023-01-10 03:54:27.717,2023-01-10 04:03:44.453,2023-01-10 06:46:57.727,Willenhall,E03,HOUSE FIRE PR,PUMPING,PUMPING,Pumping,5,7,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
E011,PRL,FW001745-10012023,2023-01-10 03:32:42.577,FDR,2023-01-10 04:00:01.990,2023-01-10 04:01:16.637,2023-01-10 04:16:17.507,2023-01-10 06:55:18.933,Walsall,E01,HOUSE FIRE PR,"NG,R COMMAND SUPPORT","NG,R COMMAND SUPPORT",Pumping,5,8,Reinforcements,52.5938154845168,-2.14846477473417,*E061 IS NOW callsign for a command support vehicle 1*  3 - 4 PEOPLE,Class 4,POINT (390039.6148696688 299566.3006531442),0.6585202,2.78,2.78,0.36956521175759494
C011,PRL,FW001753-10012023,2023-01-10 03:58:21.563,SSC,2023-01-10 04:02:12.677,2023-01-10 04:02:42.023,2023-01-10 04:02:49.627,2023-01-10 04:08:35.980,Highgate,C01,SSC,,PUMPING,Pumping,5,1,Initial Response,52.4630763714224,-1.88395999036942,CALL FROM C01 watch commander JOYCE IS ON THE PHONE TO SUCIDAL MALE,Class 4,POINT (407980.65378057957 285019.3987396717),0.8702044,3.06,3.06,0.47101447710443045
B032,PRL,FW001754-10012023,2023-01-10 04:15:47.697,SSC,2023-01-10 04:16:59.883,2023-01-10 04:18:10.120,2023-01-10 04:20:55.370,2023-01-10 04:27:34.130,Coventry,B03,ASSIST AMBULANCE,,PUMPING,Pumping,5,1,Initial Response,52.4051627764604,-1.49828621500778,"31 YEAR OLD MALE WITH HEAD INJURY 3 DAYS AGO CALLED ambulance ABOUT 4 HOURS AGO NOT ANSWERING DOOR AND NOT GONE TO HOSPITAL  ambulance English word log - to log something, make a log of something 42 AND ARE in attendance",Class 4,POINT (434228.40630994976 278689.13721182104),0.8061427,2.6,2.6,0.30434779604050666
C012,PRL,FW001755-10012023,2023-01-10 04:26:11.480,SSC,2023-01-10 04:29:28.147,2023-01-10 04:30:56.457,2023-01-10 04:35:17.983,2023-01-10 04:52:31.973,Highgate,C01,ASSIST AMBULANCE,,PUMPING,Pumping,5,1,Initial Response,52.4729202539331,-1.85895135783638,"ambulance ARE in attendance ambulance English word log - to log something, make a log of something:6983 police CANNOT RESOURCE  REQUEST FOR GAIN ENTRY  PATIENT SUFFERING FROM MENTAL HEALTH ISSUES",Class 4,POINT (409677.6698184966 286117.3953394809),0.97031987,2.23,2.23,0.17028986602689866
C081,PRL,FW001758-10012023,2023-01-10 04:34:03.970,SSC,2023-01-10 04:37:12.677,2023-01-10 04:39:03.463,2023-01-10 04:47:12.493,2023-01-10 06:31:15.413,Billesley,C08,SSC,PUMPING,PUMPING,Pumping,4,1,Initial Response,52.4298953627873,-1.8678688030438,CALL TO STATION FROM SUICIDAL MALE JAMES 07361553591 COULDNT DESCRIBE ANYTHING ON THE PARK SAID HE IS SWANHURST PARK  CREWS WILL TAKE A DRIVE AROUDN THE LAKE TO SEE IF THEY ANYTHING,Class 3,POINT (409080.5890249769 281330.41479037673),0.36092153,3.49,3.49,0.6268116032794302
B055,BRV,FW001759-10012023,2023-01-10 05:43:47.397,SSC,2023-01-10 05:44:57.470,2023-01-10 05:46:21.453,2023-01-10 05:50:19.813,2023-01-10 06:11:38.933,Foleshill,B05,ASSIST AMBULANCE,,PUMPING,Pumping,3,1,Initial Response,52.440839771653,-1.51000327891041,"risk based crewing 3 REQUEST FOR GAIN ACCESS  ambulance in attendance English word log - to log something, make a log of something: 657 LADY WHO HAS FALLEN  ",Class 2,POINT (433404.4569303995 282652.1506376458),0.48730138,--,--,0.5199768343213695
C065,BRV,FW001769-10012023,2023-01-10 08:15:26.090,SSC,2023-01-10 08:16:54.383,2023-01-10 08:17:29.347,2023-01-10 08:24:10.293,2023-01-10 08:38:09.130,Northfield,C06,SSC,,PUMPING,Pumping,2,1,Initial Response,52.4412217811896,-1.97487347855842,FOOT TRAPPED IN THE BED  ,Class 1,POINT (401804.5951875816 282582.3563179578),0.5514141,4.47,4.47,0.9818839888015829
C012,PRL,FW001786-10012023,2023-01-10 08:55:16.547,SSC,2023-01-10 08:56:03.793,2023-01-10 08:57:16.567,2023-01-10 08:57:21.643,2023-01-10 09:42:40.330,Highgate,C01,SSC,,PUMPING,Pumping,4,1,Initial Response,52.4630763714224,-1.88395999036942,WOMAN CROSSING ROAD - PRAM KNOCKED OVER - O.S STATION REQUEST AMBULANCE,Class 3,POINT (407980.65378057957 285019.3987396717),0.8702044,3.06,3.06,0.47101447710443045
A071,PRL,FW001789-10012023,2023-01-10 09:26:08.687,FDR,2023-01-10 09:28:37.463,2023-01-10 09:29:27.500,2023-01-10 09:33:54.810,2023-01-10 09:46:06.800,Handsworth,A07,CAR FIRE,,PUMPING,Pumping,5,1,Initial Response,52.4974054169768,-1.93954892868336,CAR HAS BEEN ON FIRE BUT IS NOW OUT  OFF HANDSWORTH NEW ROAD ,Class 4,POINT (404200.6232830008 288833.3338817183),0.8924717,3.26,3.26,0.5434782627474684
